Q/F,24,48,72,96,120,144,168,192,216,240,264,288,312,336,360,384,408,432,456,480,504,528,552,576,600,624,648,672,696,720,744,768,792,816,840,864,888,912,936,960,984,1008,1032,1056,1080,1104,1128,1152,1176,1200,1224,1248,1272,1296,1320,1344,1368,1392,1416,1440,1464,1488,1512,1536,1560,1584,1608,1632,1656,1680,1704,1728,1752,1776,1800,1824,1848,1872,1896,1920
24,1.751178%,3.402351%,5.243129%,7.362073%,9.608714%,11.526837%,12.646362%,14.515009%,17.204751%,17.686714%,19.774818%,21.449930%,24.229716%,24.627225%,29.209499%,28.955352%,32.233416%,33.615366%,35.405230%,35.234813%,37.944642%,38.984749%,34.727424%,34.882483%,44.920661%,45.616093%,47.375347%,49.675236%,48.406815%,44.526708%,50.666962%,45.663704%,56.231124%,56.113086%,58.329662%,59.577026%,58.202792%,60.390602%,64.105164%,68.055317%,72.987388%,74.330673%,73.882542%,71.714086%,77.470117%,71.049543%,77.088137%,81.493067%,77.934221%,80.674684%,77.541318%,85.229574%,83.595742%,84.915396%,88.754832%,82.242469%,84.460859%,84.075344%,92.886625%,94.117647%,90.751741%,83.496010%,93.082402%,82.089926%,86.513578%,95.767609%,93.596057%,89.711920%,106.460090%,95.860361%,96.484205%,102.501172%,97.333840%,101.299531%,109.336761%,101.162841%,108.635239%,104.619407%,108.387083%,112.347583%
48,3.660730%,6.682663%,11.457193%,14.856989%,18.146151%,19.180759%,22.986442%,29.839239%,31.844867%,38.917875%,38.638505%,41.276568%,42.982746%,50.243108%,51.513229%,53.860454%,60.070568%,62.249555%,62.931272%,59.338641%,73.129508%,71.446014%,83.420751%,83.107139%,79.717253%,94.726824%,90.920252%,95.446072%,93.230755%,98.877808%,114.874299%,98.154462%,110.122956%,112.020592%,116.190859%,118.680427%,129.232879%,120.709391%,130.269345%,117.435850%,134.301454%,140.451255%,122.229003%,133.053448%,134.567911%,136.649188%,140.206818%,139.137393%,146.737120%,158.700311%,152.403557%,165.806895%,152.052578%,166.348035%,157.928460%,175.365702%,163.728703%,161.940273%,148.184848%,157.011333%,171.810348%,162.305048%,175.618281%,176.418887%,185.712818%,182.964070%,171.198076%,189.138755%,165.591332%,166.154581%,189.129182%,171.034933%,176.682407%,191.921384%,185.453641%,206.803271%,190.206929%,192.774806%,189.501400%,198.405634%
72,5.266153%,10.391081%,16.780955%,21.830094%,28.804087%,32.241870%,38.238805%,44.203956%,47.702577%,52.784049%,57.582823%,50.275832%,64.838116%,73.016651%,80.004028%,80.889202%,84.958931%,95.146162%,103.361626%,103.435040%,106.809126%,121.682205%,116.641537%,113.257284%,117.713597%,117.564805%,137.019838%,135.175216%,132.383950%,137.733073%,154.496077%,150.374161%,151.771158%,150.971614%,128.882848%,167.113780%,164.661388%,177.473628%,181.848262%,184.313365%,187.015486%,188.114905%,197.409243%,196.864759%,184.242127%,199.668989%,197.994874%,215.984181%,206.420188%,203.479284%,207.198355%,204.780835%,217.523240%,212.670834%,216.927891%,220.422158%,238.542242%,236.373735%,231.192324%,239.446384%,244.875771%,200.154619%,238.002089%,245.103938%,247.454876%,232.723711%,265.754925%,268.875720%,243.649874%,242.314336%,245.099314%,258.824704%,270.487987%,265.635778%,255.407643%,285.817819%,275.310040%,258.458671%,282.301704%,275.102938%
96,6.798833%,14.180919%,20.989903%,28.764348%,38.321250%,40.643119%,48.925656%,56.878257%,65.622875%,66.950896%,75.789672%,88.639942%,90.970128%,95.435535%,102.729362%,109.667652%,116.703176%,118.177078%,128.198483%,123.585426%,134.279219%,135.540057%,146.667110%,160.311020%,163.688534%,164.094388%,167.758931%,175.576002%,183.240775%,191.737160%,183.439991%,192.376487%,182.852113%,200.991700%,219.668301%,220.959174%,229.524782%,218.331272%,220.807710%,239.466462%,224.960583%,236.460677%,249.987344%,228.486523%,259.025926%,265.401313%,253.185222%,262.889320%,279.751263%,264.677108%,238.057215%,258.171182%,279.647709%,272.840983%,282.944695%,282.801200%,280.488288%,296.764012%,279.875170%,270.915398%,317.031350%,289.907707%,332.517800%,326.825623%,296.488003%,330.931958%,314.436618%,310.419115%,319.017759%,331.542949%,319.437142%,311.584360%,325.103164%,325.949589%,320.240514%,330.938291%,320.150720%,322.919559%,356.694526%,377.494125%
120,8.994638%,16.913217%,25.784243%,36.524317%,42.194580%,55.017414%,59.969446%,72.206027%,79.025083%,82.879054%,85.653496%,102.879016%,103.473900%,117.906825%,129.244336%,131.112837%,136.667106%,147.848923%,147.623053%,162.503657%,172.841729%,175.828018%,175.119264%,183.146307%,187.327216%,195.331147%,196.729337%,208.194462%,214.787987%,238.752766%,230.676216%,245.013566%,249.104584%,232.115023%,257.890460%,259.805184%,274.709578%,259.140372%,268.225464%,270.824003%,272.322407%,270.509961%,294.103372%,274.414457%,279.894829%,311.769456%,293.021381%,317.242032%,299.654814%,310.729640%,324.346750%,325.811612%,331.915560%,325.863404%,330.221222%,337.754609%,346.238582%,326.161333%,359.863241%,341.737596%,354.094539%,374.958363%,382.212701%,373.130674%,368.931149%,379.062283%,354.625986%,375.614949%,368.137029%,348.683696%,389.316640%,386.656653%,396.584355%,384.184824%,375.585018%,397.578211%,393.201424%,405.271698%,419.120436%,417.602233%
144,10.721129%,19.821689%,25.473435%,42.015859%,43.432527%,60.034427%,70.441790%,88.367965%,91.474702%,106.203807%,105.976714%,118.134977%,130.643365%,140.028033%,151.049694%,165.871371%,154.479625%,160.323182%,145.030780%,191.802703%,190.589299%,204.760599%,217.316819%,211.712106%,236.615049%,225.776573%,226.009145%,240.754036%,259.224414%,224.155858%,256.592738%,261.670202%,287.462641%,261.347590%,296.803128%,289.570897%,313.181484%,297.629514%,320.571103%,308.193925%,309.302123%,335.422183%,326.921744%,309.881413%,321.011707%,342.201235%,348.274535%,338.093790%,347.949368%,326.911105%,331.920600%,353.368892%,370.635839%,359.885583%,396.967453%,408.727399%,401.424401%,382.294505%,397.161877%,394.294509%,398.461513%,399.851785%,418.068128%,409.850322%,409.586557%,375.513258%,405.222787%,440.742645%,408.639533%,454.045106%,420.094203%,414.203152%,431.000176%,432.294418%,439.699412%,449.555926%,463.661908%,480.309334%,456.489783%,439.409020%
168,12.005306%,24.113489%,36.012118%,48.733836%,62.733859%,66.309723%,82.618764%,87.676461%,108.878930%,116.588675%,127.083390%,136.476432%,149.499044%,156.882690%,146.894544%,187.713082%,188.746210%,195.495155%,163.800064%,210.170045%,223.562523%,226.982150%,233.546091%,255.953278%,255.317330%,270.800145%,270.015445%,276.610416%,275.262378%,312.921547%,306.732974%,303.880512%,288.533037%,340.281986%,330.053584%,337.345869%,303.532299%,307.876750%,336.779071%,356.147663%,320.444286%,367.084312%,363.475842%,358.764336%,365.464703%,359.903641%,377.500029%,395.721482%,415.890331%,422.510471%,395.625374%,404.648466%,408.442709%,430.678324%,422.783827%,431.031811%,433.770704%,392.520894%,382.144678%,411.077399%,412.053795%,436.184187%,465.692944%,458.417661%,405.970829%,469.184076%,454.223684%,445.020788%,473.919323%,475.781234%,479.796967%,475.071370%,498.311389%,485.595510%,480.885631%,493.559253%,458.791150%,480.705569%,535.483822%,534.190861%
192,13.072681%,28.382817%,40.726254%,52.797680%,70.737976%,81.274231%,91.414968%,105.821678%,113.782753%,140.010574%,140.672296%,153.962132%,167.403462%,194.035970%,191.244485%,203.755857%,209.976012%,217.974650%,244.394990%,240.899728%,248.252455%,255.755264%,268.034354%,278.397463%,264.007910%,260.081911%,277.584439%,316.032981%,293.888134%,329.211933%,324.927688%,337.267098%,330.387711%,335.516885%,366.285829%,376.246609%,360.361903%,357.730628%,359.762311%,386.202410%,393.803516%,413.418212%,383.753739%,378.300108%,399.051157%,421.608825%,427.598880%,419.858693%,424.589452%,422.812321%,453.787318%,453.195360%,457.048537%,458.936526%,463.373037%,472.035552%,472.349409%,470.381540%,441.480908%,459.297809%,488.678933%,487.671017%,477.356897%,465.543405%,488.956514%,504.352406%,529.510055%,489.185291%,508.199703%,497.824881%,467.905407%,520.578856%,510.476583%,527.479259%,527.026100%,530.913955%,556.295643%,525.090949%,551.192364%,576.655213%
216,15.233603%,32.523959%,45.812759%,51.890918%,72.180715%,86.699203%,95.779745%,126.045995%,129.389876%,143.285290%,151.529178%,174.303550%,186.040156%,189.971750%,193.746228%,232.209541%,223.709017%,232.273241%,258.431549%,241.783045%,285.098948%,276.775647%,289.691309%,306.949041%,285.661267%,317.814881%,323.689095%,329.852910%,353.204711%,333.460509%,356.689891%,359.185635%,370.535495%,375.121511%,403.492532%,400.970876%,423.376038%,381.919127%,418.252464%,393.885009%,440.316683%,454.907860%,456.392802%,425.371545%,432.758831%,440.789437%,440.679392%,460.062941%,437.674839%,450.717157%,495.523571%,504.659965%,470.982705%,470.198602%,482.423080%,504.923556%,535.978326%,510.102425%,486.719752%,519.916694%,535.883416%,512.474207%,541.309810%,527.122906%,521.359971%,521.805671%,548.962407%,564.401921%,544.773709%,535.062614%,547.618483%,484.629054%,610.635437%,590.343587%,563.204770%,561.156728%,553.551221%,596.474167%,576.330721%,642.310907%
240,16.381396%,35.165117%,48.244868%,67.863745%,85.987700%,94.999242%,113.067546%,129.968618%,147.469213%,172.682738%,168.289954%,187.699721%,194.942793%,216.429259%,244.429392%,242.844650%,262.167622%,265.543460%,255.417804%,280.647517%,299.609744%,299.076935%,320.418663%,309.325193%,339.580344%,344.869722%,332.671819%,360.231175%,364.299559%,372.771953%,386.811559%,409.585665%,373.864588%,389.514204%,397.025704%,449.253803%,447.459068%,425.356395%,421.134033%,448.835559%,454.140473%,503.078345%,473.353613%,469.821589%,486.302343%,493.370095%,489.027831%,506.104411%,499.144648%,483.819147%,522.995380%,513.972038%,497.821176%,533.070774%,527.336216%,531.851187%,553.991065%,554.052419%,537.636131%,547.509488%,550.677577%,568.058858%,561.362962%,582.708488%,554.491386%,587.112607%,556.020953%,586.587143%,545.891137%,582.790919%,607.054132%,592.625300%,599.079646%,607.588603%,608.249061%,581.489963%,602.129845%,656.805556%,614.557762%,670.208971%
264,18.207554%,37.894942%,58.815271%,75.360318%,102.247373%,109.119267%,127.375941%,141.410570%,165.979560%,188.215374%,188.103746%,208.497353%,213.520288%,247.670991%,258.740031%,265.942105%,268.658434%,284.237620%,308.421586%,323.147166%,310.527619%,316.098298%,331.608481%,340.437536%,387.928837%,368.227225%,349.683214%,358.569913%,380.945865%,411.355616%,424.201831%,422.658713%,414.638255%,419.611282%,421.267543%,434.545082%,457.084699%,444.807469%,373.074103%,444.538284%,467.319049%,511.193929%,481.865893%,479.835645%,514.985529%,525.338511%,519.985856%,543.692575%,526.001663%,543.998135%,546.335723%,527.286389%,548.375916%,571.012294%,550.324410%,574.877892%,558.623048%,602.519598%,574.381951%,568.025057%,537.090924%,600.298100%,588.709662%,581.043951%,551.210604%,585.583485%,582.089829%,621.213248%,585.661387%,610.155694%,608.359712%,628.044262%,651.911973%,622.826677%,659.449772%,605.805961%,656.799800%,655.442625%,677.510793%,674.738995%
288,20.435156%,38.185188%,60.577677%,86.399477%,101.210107%,108.144739%,131.544726%,154.300783%,157.485742%,194.027282%,192.470697%,216.895435%,227.273029%,235.342937%,226.204658%,273.871290%,272.460368%,286.198959%,295.829382%,333.447305%,354.570637%,323.195226%,345.111639%,381.040815%,367.679034%,403.094503%,389.836569%,386.723321%,415.096772%,407.529899%,445.983284%,438.116517%,427.509180%,447.279816%,437.202021%,497.578106%,460.896383%,453.389615%,492.022957%,489.071220%,527.354189%,494.124743%,510.975903%,520.172021%,545.496337%,533.568105%,563.574567%,539.281791%,529.240830%,575.861433%,575.983059%,550.942860%,579.201488%,583.694773%,569.873696%,574.072756%,599.295476%,580.030210%,586.995755%,587.472075%,630.808961%,609.286904%,630.735893%,644.968659%,626.508645%,634.601812%,626.174415%,631.926035%,657.330170%,624.274688%,630.151419%,675.264977%,683.098325%,670.090727%,672.814666%,649.186276%,675.902923%,672.840197%,700.090989%,676.899390%
312,21.518470%,43.007487%,69.064907%,87.793666%,113.825967%,127.598460%,142.361063%,150.952382%,180.596380%,219.396265%,206.987506%,231.624380%,258.497020%,254.698054%,267.289796%,285.014245%,290.892264%,317.037232%,328.777095%,359.174966%,358.758759%,340.782706%,358.396524%,325.082563%,382.073760%,398.207496%,400.031757%,395.357290%,414.811737%,440.342856%,459.491419%,464.670279%,467.591688%,435.217437%,493.862057%,530.548998%,517.473637%,463.983500%,500.800636%,533.199464%,518.900665%,515.307817%,530.150789%,541.107383%,591.604712%,556.636238%,562.805560%,592.734234%,575.785323%,567.493760%,583.951551%,580.493025%,597.654063%,579.828510%,578.454437%,590.755498%,629.251525%,638.955201%,590.200990%,615.978643%,646.288339%,671.414595%,660.673786%,663.385949%,647.232375%,678.437895%,668.961114%,678.923542%,693.279781%,694.661840%,675.599346%,693.382990%,674.829136%,665.371915%,678.502709%,679.369752%,727.275823%,692.576598%,697.829413%,699.432267%
336,21.328276%,39.136927%,65.862645%,96.320675%,115.926966%,123.079036%,155.129610%,178.360313%,208.505552%,218.984346%,223.452583%,249.004649%,257.821751%,278.861549%,306.406990%,318.077983%,330.897248%,345.181467%,359.722612%,379.819443%,382.696197%,363.734078%,382.877082%,404.219549%,417.379152%,439.483424%,432.587405%,425.621914%,466.858117%,463.123890%,481.177478%,488.493608%,469.945475%,494.430074%,519.104134%,521.982395%,537.219772%,528.239560%,511.562767%,538.007204%,536.370273%,568.537045%,546.684013%,566.135480%,595.525985%,584.405997%,625.444901%,602.373505%,612.812405%,592.454797%,632.034288%,629.382945%,646.794465%,604.625698%,618.800556%,650.007651%,627.374867%,635.079826%,569.720018%,635.859815%,612.232382%,678.188642%,662.524843%,706.028469%,699.777640%,671.507656%,685.061053%,716.874323%,692.739840%,688.928417%,699.070681%,700.810807%,715.089337%,758.925674%,721.386415%,741.377981%,741.159938%,739.470295%,743.773723%,766.655785%
360,22.795947%,52.135573%,69.388325%,101.488353%,125.320167%,136.706562%,164.110663%,190.035508%,216.000225%,218.499532%,235.665737%,257.720883%,263.444560%,312.554354%,313.516166%,332.751127%,328.471147%,345.026107%,353.285969%,392.766884%,388.857478%,379.505022%,410.367605%,420.014333%,415.989901%,451.996499%,439.318466%,461.410215%,476.048999%,500.324646%,487.661663%,502.423768%,501.149027%,521.265234%,515.651962%,554.562501%,551.304359%,540.899869%,563.349023%,539.226600%,570.961267%,576.776932%,564.602578%,580.210150%,603.399184%,603.255510%,646.475260%,628.981182%,618.995897%,633.948608%,630.926311%,696.065633%,627.383927%,644.710466%,639.446620%,618.795659%,685.058987%,673.188889%,660.271164%,681.515830%,674.880180%,692.238246%,716.052477%,698.784321%,646.836565%,703.583876%,702.778325%,727.185299%,737.107196%,723.978163%,763.047535%,747.670796%,748.349670%,767.279034%,748.666924%,748.179319%,744.856096%,762.964759%,763.154132%,770.421048%
384,25.739557%,51.313103%,80.159780%,107.978199%,131.013725%,144.034532%,165.625123%,183.642989%,230.037930%,237.520187%,236.267626%,277.364011%,276.533379%,311.471893%,325.487085%,335.274384%,338.275861%,321.136429%,329.485697%,408.816265%,402.276022%,397.157682%,420.248581%,442.763111%,459.870602%,459.429387%,433.725726%,464.579374%,480.416741%,484.486866%,507.097208%,536.430461%,528.503730%,536.507581%,551.138899%,558.732757%,558.233591%,540.109689%,571.715228%,564.762333%,591.673948%,606.137053%,584.311039%,617.409873%,598.375828%,601.904271%,628.120251%,655.414436%,667.072708%,624.868262%,661.018142%,681.648200%,666.141266%,653.329356%,658.071414%,655.719084%,663.574666%,685.787030%,709.860959%,715.632128%,691.095928%,712.833713%,713.962824%,708.772346%,706.444408%,713.647561%,709.563904%,773.051479%,756.477255%,756.265727%,696.358308%,737.022196%,765.005638%,760.950443%,744.895664%,767.663200%,758.886737%,797.680025%,793.403344%,788.195825%
408,26.695865%,56.280835%,82.570940%,106.120297%,139.369996%,148.572496%,176.039996%,204.886072%,216.594041%,249.301965%,234.841263%,260.903450%,235.290040%,308.151515%,343.421094%,368.996950%,369.500771%,386.521389%,396.649179%,447.709757%,431.125522%,437.223484%,433.467700%,456.070781%,488.467732%,477.683183%,470.811043%,481.776932%,517.147524%,510.960546%,542.373063%,478.415907%,515.492824%,549.755931%,551.970887%,599.019299%,629.572394%,576.274366%,607.283335%,543.504618%,590.052260%,585.139579%,616.978650%,623.085715%,628.558758%,636.562974%,618.735641%,690.525722%,655.032793%,628.150586%,664.925437%,649.057621%,684.086976%,682.819561%,683.627726%,694.637159%,722.384652%,743.118348%,701.544565%,662.743219%,709.523970%,718.933951%,741.476132%,727.876637%,705.034516%,753.550238%,760.878207%,711.592306%,791.808076%,722.646922%,770.272687%,788.063756%,774.392010%,774.173232%,722.883161%,801.262147%,825.751509%,779.277485%,835.097741%,838.366202%
432,28.047580%,56.156001%,82.862174%,115.787562%,135.287883%,169.567184%,181.331315%,199.146095%,238.447721%,257.631547%,245.418199%,294.990795%,309.824905%,343.800267%,355.346868%,360.033548%,369.310262%,372.066874%,400.814123%,433.376648%,435.936893%,442.864169%,459.022784%,472.816938%,446.300010%,509.162074%,494.849461%,495.928410%,499.983007%,526.311615%,539.197590%,550.545000%,544.989121%,572.936964%,592.884322%,603.392007%,624.539483%,579.622801%,601.703373%,623.600709%,629.701403%,633.065725%,648.814142%,621.106539%,653.122076%,655.047602%,654.509354%,688.131186%,654.959361%,706.339324%,702.851136%,695.272694%,700.940762%,714.731714%,713.739236%,686.085903%,685.247066%,762.616396%,694.160772%,718.939533%,754.441862%,749.829403%,763.663985%,797.115832%,745.861306%,751.019871%,743.629635%,777.056293%,799.934587%,728.058070%,709.842103%,799.625947%,846.136061%,816.998439%,795.784675%,823.911877%,810.894011%,824.000330%,778.899388%,824.338683%
456,30.223852%,60.895149%,94.329936%,126.138080%,154.609027%,161.695782%,188.481994%,220.204046%,246.466711%,268.499104%,286.474208%,296.285016%,320.033742%,340.415463%,368.224643%,387.844154%,388.247737%,404.447201%,427.356237%,445.815553%,485.286345%,424.213793%,471.061818%,487.052447%,498.402700%,531.572224%,511.924492%,530.122139%,545.791001%,539.387312%,557.410845%,580.727906%,573.114546%,599.306747%,591.099481%,632.794904%,640.337209%,643.272045%,599.880464%,581.400908%,619.487110%,663.068209%,641.090062%,661.223992%,665.213774%,672.904167%,671.279225%,721.954427%,670.934324%,723.675629%,683.451135%,712.701772%,736.693981%,719.322841%,731.893488%,759.551595%,708.014863%,744.404832%,724.611998%,790.296411%,783.984939%,727.658209%,744.053084%,805.869922%,773.677919%,769.857573%,776.201332%,801.637115%,802.555973%,786.666623%,795.963453%,801.253331%,777.125623%,822.038664%,789.157592%,827.742331%,812.232529%,836.001563%,825.980561%,861.071648%
480,23.507553%,56.077914%,94.962339%,130.335725%,158.603709%,166.852692%,209.059538%,213.214326%,267.341854%,279.688955%,260.325445%,304.076752%,351.123836%,361.467048%,386.573938%,417.311747%,380.704249%,390.154553%,433.026104%,453.193766%,478.239871%,440.454075%,456.360407%,469.811873%,521.911801%,532.198290%,517.618073%,528.584821%,536.356278%,595.308650%,564.851081%,617.464748%,592.481592%,594.701899%,636.454607%,658.322745%,622.206335%,525.828127%,625.596411%,635.673448%,667.699875%,708.375254%,680.516446%,616.638538%,697.837833%,688.093966%,728.180899%,750.277431%,688.609161%,711.246940%,723.463381%,713.603673%,738.820427%,717.395084%,736.161196%,765.488071%,770.402609%,778.488284%,779.331346%,761.389710%,760.062487%,806.689375%,815.114937%,801.488931%,788.562215%,829.606789%,793.440271%,806.577692%,846.248050%,792.047262%,753.782442%,849.868774%,859.336755%,863.591563%,838.182258%,833.062006%,834.785849%,864.165718%,846.041137%,899.275870%
